season,date,home_team,away_team,home_score,away_score,sky_match_id,slug
2023-24,,Scotland,England,20,17,98088,scotland-vs-england
2024-25,,Italy,Ireland,17,22,108372,italy-vs-ireland
2024-25,,Wales,England,14,68,108373,wales-vs-england
2024-25,,France,Scotland,35,16,108374,france-vs-scotland
2024-25,,England,Italy,47,24,108371,england-vs-italy
2024-25,,Ireland,France,27,42,108369,ireland-vs-france
2024-25,,Scotland,Wales,35,29,108370,scotland-vs-wales
2024-25,,Italy,France,24,73,108368,italy-vs-france
2024-25,,Wales,Ireland,18,27,108366,wales-vs-ireland
2024-25,,England,Scotland,16,15,108367,england-vs-scotland
2024-25,,Scotland,Ireland,18,32,108365,scotland-vs-ireland
2024-25,,Italy,Wales,22,15,108363,italy-vs-wales
2024-25,,England,France,26,25,108364,england-vs-france
2024-25,,Scotland,Italy,31,19,108361,scotland-vs-italy
2024-25,,Ireland,England,27,22,108362,ireland-vs-england
2024-25,,France,Wales,43,0,108360,france-vs-wales
